agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run
Random Agent,RandomAgent,1,0.03333333333333333,45,63.30434782608695,0.4411764705882353,3,1
Conservative Agent,ConservativeAgent,7,0.23333333333333334,391,65.0,0.5483870967741935,0,1
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,169,63.28,0.30071174377224197,1,1
Sniper Agent,SniperAgent,1,0.03333333333333333,68,46.857142857142854,0.7157894736842105,2,1
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,148,94.44444444444444,0.09879839786381843,3,1
Random Agent,RandomAgent,0,0.0,0,67.28571428571429,0,4,2
Conservative Agent,ConservativeAgent,10,0.3333333333333333,178,82.66666666666667,0.12660028449502134,1,2
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,150,69.5909090909091,0.2613240418118467,1,2
Sniper Agent,SniperAgent,0,0.0,0,56.5,0,0,2
Adaptive Agent,AdaptiveAgent,15,0.5,279,103.36666666666666,0.1964788732394366,0,2
Random Agent,RandomAgent,2,0.06666666666666667,95,55.42857142857143,0.472636815920398,2,3
Conservative Agent,ConservativeAgent,7,0.23333333333333334,189,48.84615384615385,0.24387096774193548,0,3
Aggressive Agent,AggressiveAgent,4,0.13333333333333333,96,59.476190476190474,0.27586206896551724,2,3
Sniper Agent,SniperAgent,1,0.03333333333333333,82,51.8,1.2424242424242424,0,3
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,122,100.9,0.08133333333333333,10,3
Random Agent,RandomAgent,4,0.13333333333333333,180,65.04347826086956,0.5625,2,4
Conservative Agent,ConservativeAgent,4,0.13333333333333333,125,55.72,0.38109756097560976,0,4
Aggressive Agent,AggressiveAgent,6,0.2,189,64.375,0.2603305785123967,0,4
Sniper Agent,SniperAgent,2,0.06666666666666667,108,60.55555555555556,0.6033519553072626,0,4
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,247,87.45833333333333,0.16543871399866042,6,4
Random Agent,RandomAgent,1,0.03333333333333333,55,53.4,0.7971014492753623,4,5
Conservative Agent,ConservativeAgent,7,0.23333333333333334,149,66.875,0.14622178606476938,0,5
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,160,79.0,0.17640573318632854,1,5
Sniper Agent,SniperAgent,0,0.0,0,32.333333333333336,0,2,5
Adaptive Agent,AdaptiveAgent,15,0.5,13,107.96551724137932,0.008947006194081212,1,5
Random Agent,RandomAgent,5,0.16666666666666666,240,71.22222222222223,0.5206073752711496,3,6
Conservative Agent,ConservativeAgent,2,0.06666666666666667,50,39.869565217391305,0.2976190476190476,0,6
Aggressive Agent,AggressiveAgent,8,0.26666666666666666,302,87.3,0.2814538676607642,2,6
Sniper Agent,SniperAgent,1,0.03333333333333333,1,53.875,0.014084507042253521,1,6
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,57,95.88461538461539,0.039202200825309494,4,6
Random Agent,RandomAgent,6,0.2,324,79.91304347826087,0.6044776119402985,1,7
Conservative Agent,ConservativeAgent,3,0.1,131,59.5,0.3638888888888889,0,7
Aggressive Agent,AggressiveAgent,6,0.2,157,67.20833333333333,0.19600499375780275,0,7
Sniper Agent,SniperAgent,2,0.06666666666666667,83,82.5,0.5928571428571429,0,7
Adaptive Agent,AdaptiveAgent,13,0.43333333333333335,103,116.61111111111111,0.06866666666666667,11,7
Random Agent,RandomAgent,6,0.2,287,60.041666666666664,0.6212121212121212,3,8
Conservative Agent,ConservativeAgent,3,0.1,118,28.12,0.5152838427947598,0,8
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,131,51.5,0.19818456883509833,0,8
Sniper Agent,SniperAgent,2,0.06666666666666667,77,48.3,0.3515981735159817,0,8
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,39,95.5909090909091,0.02636916835699797,8,8
Random Agent,RandomAgent,4,0.13333333333333333,180,69.18181818181819,0.4675324675324675,3,9
Conservative Agent,ConservativeAgent,4,0.13333333333333333,32,53.65384615384615,0.06866952789699571,0,9
Aggressive Agent,AggressiveAgent,5,0.16666666666666666,205,61.416666666666664,0.40117416829745595,3,9
Sniper Agent,SniperAgent,1,0.03333333333333333,4,53.0,0.027586206896551724,2,9
Adaptive Agent,AdaptiveAgent,16,0.5333333333333333,146,91.89285714285714,0.09918478260869565,2,9
Random Agent,RandomAgent,4,0.13333333333333333,191,65.16666666666667,0.6586206896551724,5,10
Conservative Agent,ConservativeAgent,3,0.1,166,54.76,0.515527950310559,0,10
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,215,61.708333333333336,0.24157303370786518,1,10
Sniper Agent,SniperAgent,2,0.06666666666666667,56,51.3,0.38095238095238093,0,10
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,68,97.20833333333333,0.04625850340136054,6,10
