agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,num_agents
RandomAgent 1,RandomAgent,2,0.06666666666666667,152,57.19047619047619,0.9806451612903225,5,1,5
ConservativeAgent 2,ConservativeAgent,6,0.2,213,62.958333333333336,0.3503289473684211,0,1,5
AggressiveAgent 3,AggressiveAgent,7,0.23333333333333334,178,75.875,0.19326818675352878,0,1,5
SniperAgent 4,SniperAgent,1,0.03333333333333333,0,76.75,0.0,1,1,5
AdaptiveAgent 5,AdaptiveAgent,14,0.4666666666666667,115,113.45833333333333,0.07666666666666666,5,1,5
RandomAgent 1,RandomAgent,1,0.03333333333333333,70,63.82608695652174,1.2727272727272727,0,2,5
ConservativeAgent 2,ConservativeAgent,3,0.1,168,44.95652173913044,1.1275167785234899,0,2,5
AggressiveAgent 3,AggressiveAgent,9,0.3,298,66.95833333333333,0.3156779661016949,0,2,5
SniperAgent 4,SniperAgent,4,0.13333333333333333,198,52.4,0.5238095238095238,0,2,5
AdaptiveAgent 5,AdaptiveAgent,13,0.43333333333333335,93,114.23529411764706,0.062,12,2,5
RandomAgent 1,RandomAgent,1,0.03333333333333333,82,48.25,0.7522935779816514,3,3,5
ConservativeAgent 2,ConservativeAgent,6,0.2,274,47.111111111111114,0.4740484429065744,0,3,5
AggressiveAgent 3,AggressiveAgent,4,0.13333333333333333,103,63.75,0.24407582938388625,0,3,5
SniperAgent 4,SniperAgent,3,0.1,56,69.66666666666667,0.18241042345276873,0,3,5
AdaptiveAgent 5,AdaptiveAgent,16,0.5333333333333333,155,87.375,0.10381781647689216,6,3,5
RandomAgent 1,RandomAgent,6,0.2,269,60.916666666666664,0.445364238410596,2,4,5
ConservativeAgent 2,ConservativeAgent,8,0.26666666666666666,143,58.42307692307692,0.13439849624060152,0,4,5
AggressiveAgent 3,AggressiveAgent,3,0.1,60,62.38461538461539,0.16042780748663102,0,4,5
SniperAgent 4,SniperAgent,0,0.0,0,54.0,0,1,4,5
AdaptiveAgent 5,AdaptiveAgent,13,0.43333333333333335,186,93.3,0.1725417439703154,0,4,5
RandomAgent 1,RandomAgent,2,0.06666666666666667,98,61.82608695652174,0.460093896713615,2,5,5
ConservativeAgent 2,ConservativeAgent,7,0.23333333333333334,244,50.95454545454545,0.28306264501160094,0,5,5
AggressiveAgent 3,AggressiveAgent,4,0.13333333333333333,157,60.625,0.47575757575757577,0,5,5
SniperAgent 4,SniperAgent,2,0.06666666666666667,54,54.2,0.2887700534759358,0,5,5
AdaptiveAgent 5,AdaptiveAgent,15,0.5,133,95.64,0.08890374331550802,4,5,5
RandomAgent 1,RandomAgent,1,0.03333333333333333,39,51.86363636363637,0.3786407766990291,6,6,5
ConservativeAgent 2,ConservativeAgent,6,0.2,248,61.625,0.34978843441466856,0,6,5
AggressiveAgent 3,AggressiveAgent,5,0.16666666666666666,97,71.31818181818181,0.17830882352941177,1,6,5
