agent,agent_type,wins,win_rate,total_profit,average_bid,efficiency,failed_bids,run,noise_level
Random Agent,RandomAgent,3,0.1,123,63.04347826086956,0.4979757085020243,2,1,low
Conservative Agent,ConservativeAgent,5,0.16666666666666666,99,41.592592592592595,0.17553191489361702,0,1,low
Aggressive Agent,AggressiveAgent,3,0.1,37,56.142857142857146,0.08240534521158129,2,1,low
Sniper Agent,SniperAgent,4,0.13333333333333333,198,62.2,0.6366559485530546,0,1,low
Adaptive Agent,AdaptiveAgent,15,0.5,169,104.95454545454545,0.11266666666666666,8,1,low
Random Agent,RandomAgent,3,0.1,118,69.45454545454545,0.3630769230769231,2,2,low
Conservative Agent,ConservativeAgent,2,0.06666666666666667,15,55.22727272727273,0.060240963855421686,0,2,low
Aggressive Agent,AggressiveAgent,9,0.3,275,69.84,0.23464163822525597,0,2,low
Sniper Agent,SniperAgent,1,0.03333333333333333,43,71.0,0.30714285714285716,0,2,low
Adaptive Agent,AdaptiveAgent,15,0.5,66,90.78571428571429,0.04564315352697095,2,2,low
Random Agent,RandomAgent,1,0.03333333333333333,14,44.875,0.30434782608695654,9,3,low
Conservative Agent,ConservativeAgent,12,0.4,297,64.66666666666667,0.2187039764359352,0,3,low
Aggressive Agent,AggressiveAgent,3,0.1,22,76.4,0.05774278215223097,1,3,low
Sniper Agent,SniperAgent,0,0.0,0,57.333333333333336,0,1,3,low
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,120,108.8076923076923,0.08032128514056225,4,3,low
Random Agent,RandomAgent,2,0.06666666666666667,84,79.05555555555556,0.3605150214592275,3,4,low
Conservative Agent,ConservativeAgent,9,0.3,265,88.47826086956522,0.22381756756756757,0,4,low
Aggressive Agent,AggressiveAgent,3,0.1,19,58.76,0.05956112852664577,0,4,low
Sniper Agent,SniperAgent,1,0.03333333333333333,47,59.8,0.3790322580645161,0,4,low
Adaptive Agent,AdaptiveAgent,15,0.5,98,100.07407407407408,0.06533333333333333,3,4,low
Random Agent,RandomAgent,4,0.13333333333333333,179,63.36363636363637,0.4133949191685912,4,5,low
Conservative Agent,ConservativeAgent,3,0.1,27,20.384615384615383,0.10074626865671642,0,5,low
Aggressive Agent,AggressiveAgent,7,0.23333333333333334,181,51.07692307692308,0.2552891396332863,0,5,low
Sniper Agent,SniperAgent,1,0.03333333333333333,25,29.77777777777778,0.46296296296296297,1,5,low
Adaptive Agent,AdaptiveAgent,15,0.5,156,98.38095238095238,0.10427807486631016,9,5,low
Random Agent,RandomAgent,0,0.0,0,50.1578947368421,0,6,6,low
Conservative Agent,ConservativeAgent,7,0.23333333333333334,273,52.4,0.5652173913043478,0,6,low
Aggressive Agent,AggressiveAgent,8,0.26666666666666666,263,62.391304347826086,0.33674775928297057,3,6,low
Sniper Agent,SniperAgent,1,0.03333333333333333,14,49.333333333333336,0.11965811965811966,0,6,low
Adaptive Agent,AdaptiveAgent,14,0.4666666666666667,183,90.04347826086956,0.12314939434724091,7,6,low
Random Agent,RandomAgent,3,0.1,167,60.05882352941177,0.5318471337579618,6,7,low
Conservative Agent,ConservativeAgent,7,0.23333333333333334,194,69.42857142857143,0.2143646408839779,0,7,low
Aggressive Agent,AggressiveAgent,3,0.1,50,58.1,0.15527950310559005,2,7,low
