num_agents,agent_type,avg_profit,std_profit,avg_win_rate,std_win_rate,avg_efficiency,std_efficiency
5,RandomAgent,108.4,65.75,0.0667,0.0351,0.657,0.6757
5,ConservativeAgent,163.7,84.0,0.1633,0.0367,0.3253,0.207
5,AggressiveAgent,111.9,73.34,0.1867,0.0571,0.1824,0.1044
5,SniperAgent,94.9,60.8,0.0867,0.0281,0.3785,0.2488
5,AdaptiveAgent,123,62.88,0.4967,0.0367,0.0839,0.0425
10,RandomAgent,5.35,13.12,0.005,0.0122,0.0443,0.1082
10,ConservativeAgent,12,12.06,0.0717,0.0363,0.0338,0.0299
10,AggressiveAgent,5.6,8.64,0.0467,0.0332,0.0205,0.0364
10,SniperAgent,0.15,0.67,0.005,0.0122,0.0008,0.0035
10,AdaptiveAgent,21.3,29.96,0.3717,0.0394,0.0158,0.0205
20,RandomAgent,0,0.0,0.0,0.0,0,0.0
20,ConservativeAgent,0.75,1.72,0.05,0.042,0.0023,0.0056
20,AggressiveAgent,0.47,2.04,0.0192,0.0212,0.0017,0.0067
20,SniperAgent,0,0.0,0.0067,0.0135,0.0,0.0
20,AdaptiveAgent,0.82,2.02,0.1742,0.0634,0.0016,0.004
