memory_access,agent_type,avg_profit,std_profit,avg_win_rate,std_win_rate,avg_efficiency,std_efficiency
yes,RandomAgent,181.3,83.16,0.11,0.0473,0.6759,0.2105
yes,ConservativeAgent,162.6,68.48,0.2067,0.0699,0.2264,0.0925
yes,AggressiveAgent,124.7,80.97,0.1633,0.0618,0.2223,0.1341
yes,SniperAgent,63,63.37,0.0567,0.0353,0.3607,0.374
yes,AdaptiveAgent,109,84.85,0.4633,0.0367,0.0746,0.0588
no,RandomAgent,192.9,78.67,0.1767,0.0771,0.3977,0.0982
no,ConservativeAgent,230.2,94.38,0.3033,0.1149,0.2753,0.0559
no,AggressiveAgent,145.3,68.58,0.2767,0.0754,0.1811,0.0553
no,SniperAgent,27.9,22.76,0.0633,0.0367,0.12,0.0867
no,AdaptiveAgent,220.6,98.37,0.18,0.0724,0.4635,0.0931
